emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
"Physicist, medical",0,OH,MORTGAGE,64071,Source Verified,29.66,,Source Verified,28.5,0,,1996,9,45,15,105457,58866,1,4,30.0,0,2708,5,7,13,8,1,2,1,18905,23,12,5,2,87.0,0,0,medical,joint,49454,36,14.89,969.69,C,D1,Jan-2024,Current,fractional,Cash,13319.51,26683.21,28799.92,1067.65,342.65
Adult guidance worker,7,OH,MORTGAGE,80731,Source Verified,24.54,91321.0,Source Verified,,0,,1989,5,7,1,187558,21567,2,1,30.0,1,3562,0,9,20,14,0,2,6,31739,2,9,8,3,85.5,0,0,small_business,individual,26858,60,23.34,497.37,B,E2,Mar-2026,Current,whole,DirectPay,14077.87,22776.87,18047.8,4472.83,5.52
Operations geologist,4,NC,OWN,170016,Source Verified,32.14,130073.0,Verified,10.84,1,20.0,2004,3,21,23,177823,101082,2,3,,0,4621,2,7,4,16,1,2,7,26286,20,4,7,1,76.5,0,1,credit_card,joint,21873,36,19.41,1286.65,D,B1,Mar-2025,Late (31-120 days),whole,DirectPay,13110.0,13170.73,401.29,1409.09,318.25
Sports therapist,0,OH,MORTGAGE,80506,Verified,34.84,226325.0,Not Verified,,0,,2011,6,19,6,162889,14428,2,3,47.0,2,4697,7,4,19,10,1,2,4,45934,13,11,0,4,97.3,0,0,moving,joint,14693,60,18.21,489.77,C,D1,Mar-2025,Current,fractional,Cash,10250.87,13658.86,9198.78,164.96,426.36
"Surveyor, insurance",7,IL,RENT,95553,Source Verified,23.47,112424.0,Source Verified,5.47,1,,2014,3,26,7,143168,109899,2,3,,1,631,1,5,9,13,1,0,4,28201,13,4,7,2,65.4,0,0,debt_consolidation,joint,18370,36,12.16,367.4,A,A1,Dec-2024,Current,whole,Cash,1150.94,16651.26,2046.35,1956.11,205.55
Horticultural therapist,0,FL,RENT,149302,Source Verified,26.93,,Verified,39.02,0,37.0,1996,8,45,1,261351,209526,1,4,,2,597,6,0,16,2,1,1,7,43903,11,9,6,0,89.0,0,0,medical,individual,16289,60,18.92,509.03,A,E2,Aug-2025,Late (16-30 days),whole,DirectPay,8853.69,1331.22,5972.21,1579.04,82.89
Brewing technologist,9,NJ,MORTGAGE,108457,Verified,31.76,113870.0,Source Verified,31.49,0,,1999,9,44,21,75633,13924,2,3,,1,3048,7,9,16,2,0,1,6,5750,3,8,0,1,73.6,0,0,credit_card,individual,16357,60,21.15,711.17,A,E2,Jul-2025,Current,whole,DirectPay,8142.72,1725.23,8594.36,2689.43,190.21
Systems analyst,2,NC,OWN,162924,Not Verified,25.93,181354.0,Not Verified,10.91,0,,2017,7,32,1,132775,34243,2,4,,2,612,3,13,5,14,1,2,4,23800,9,12,6,0,66.6,0,0,medical,individual,31450,36,8.87,655.21,A,C1,Dec-2025,Current,whole,Cash,13138.58,30950.27,16804.87,3992.08,82.98
Research scientist (life sciences),8,PA,OWN,157197,Not Verified,11.49,211162.0,Source Verified,33.76,0,,1993,4,25,24,157226,140076,1,2,,1,985,7,4,23,1,0,2,3,11752,20,2,8,2,81.6,0,0,moving,individual,3529,60,13.12,80.2,A,D1,Feb-2025,Current,fractional,Cash,1589.29,2642.61,1838.32,438.25,176.19
Arts administrator,9,OH,MORTGAGE,97516,Source Verified,15.16,,Not Verified,,0,,2005,8,39,21,199139,159588,0,3,,1,459,0,6,8,3,1,0,2,24433,15,2,2,0,63.1,0,0,home_improvement,joint,20058,36,21.03,436.04,E,C1,Jan-2025,Late (16-30 days),fractional,DirectPay,17535.24,3.78,2713.14,1563.56,189.75
Learning disability nurse,6,OH,OWN,27659,Source Verified,20.22,,Not Verified,24.57,0,19.0,2003,8,18,24,22109,9787,1,4,,0,2723,7,0,8,1,1,0,9,44864,14,11,4,2,92.2,0,0,moving,individual,22980,36,15.39,450.59,C,D2,Jan-2024,Current,whole,DirectPay,5201.56,16781.06,11008.49,296.4,438.62
Biomedical scientist,4,NC,OWN,39849,Source Verified,18.62,,Not Verified,36.84,0,,2001,1,38,24,73095,71910,0,4,,2,1447,3,5,11,14,0,2,1,23174,9,3,9,3,68.8,1,0,moving,individual,18232,60,11.28,309.02,C,B1,May-2025,Current,fractional,Cash,8083.7,11068.46,9208.0,2157.56,351.32
"Conservator, museum/gallery",10,PA,MORTGAGE,53803,Not Verified,9.17,,Not Verified,,0,,2013,6,49,17,40795,9770,2,2,,0,4796,5,0,13,17,1,2,2,13093,20,12,0,1,61.6,0,0,vacation,individual,20230,36,14.73,578.0,A,B2,Oct-2023,Current,fractional,DirectPay,9363.5,8871.63,3536.36,1605.44,22.19
Advertising account executive,0,AZ,RENT,161535,Source Verified,37.73,,Not Verified,,0,,1992,0,29,14,45634,45602,2,4,76.0,2,726,0,14,19,18,1,1,7,5112,4,14,0,3,86.8,0,0,other,joint,48628,36,10.41,2026.17,A,C1,Jul-2024,Current,whole,DirectPay,17946.31,5885.2,16298.07,7305.66,35.5
English as a foreign language teacher,2,FL,MORTGAGE,175158,Source Verified,31.74,,Source Verified,,0,,2010,4,41,21,151130,75637,1,0,,2,4318,0,6,23,6,1,0,3,14497,22,11,1,3,65.7,0,0,moving,joint,16376,60,22.89,818.8,D,E1,Jul-2025,Current,fractional,DirectPay,11020.5,4509.64,4012.95,2584.08,223.21
Cytogeneticist,9,IL,MORTGAGE,125127,Not Verified,28.17,90379.0,Not Verified,,0,,2015,4,31,11,92279,16434,0,0,,1,575,4,7,1,16,1,1,9,49775,1,4,0,4,97.9,0,0,medical,individual,19858,36,13.55,422.51,C,A2,Jan-2025,Current,whole,Cash,19302.48,4537.29,15528.2,2112.54,67.89
Biomedical engineer,10,FL,OWN,32597,Not Verified,21.57,113918.0,Not Verified,,0,35.0,2016,4,26,4,218434,158489,0,4,68.0,0,2352,4,1,12,19,0,1,5,20693,2,13,2,1,81.8,0,0,vacation,individual,49093,36,22.59,1197.39,C,B2,Dec-2023,Current,fractional,Cash,2830.09,16811.8,10613.82,9488.87,278.85
Arboriculturist,5,NJ,RENT,110376,Source Verified,44.99,,Source Verified,,0,,1995,7,49,15,47772,27762,1,4,,1,1510,3,4,16,9,1,1,3,15283,12,6,0,2,94.1,0,0,home_improvement,joint,36395,36,16.08,1299.82,A,E1,Dec-2025,Current,fractional,Cash,16839.08,35703.04,14074.89,6285.76,294.37
Immigration officer,7,IL,RENT,131233,Verified,13.13,,Source Verified,,1,47.0,2017,2,36,8,274598,183170,2,2,,2,942,5,12,22,16,1,1,9,14991,22,11,2,1,79.1,0,1,vacation,joint,40115,60,10.43,1432.68,D,C2,Apr-2025,Current,whole,Cash,5392.87,12010.25,11511.9,6454.0,139.38
Occupational psychologist,0,NJ,MORTGAGE,74847,Verified,44.62,,Verified,26.48,0,,2007,4,13,2,282647,85761,1,3,,1,2014,5,10,2,8,0,1,8,38976,13,13,1,4,90.8,0,0,small_business,joint,22536,36,20.07,1252.0,E,A1,Nov-2025,Current,whole,Cash,21524.48,11776.79,5400.81,346.43,250.31
"Producer, radio",4,NC,MORTGAGE,114833,Verified,10.81,,Verified,,0,,2006,6,35,17,126185,47092,2,1,,1,1589,3,3,17,14,1,1,2,12350,20,5,7,3,82.0,0,0,credit_card,joint,42591,36,14.09,851.82,E,D1,Jan-2024,Current,fractional,DirectPay,6085.23,33022.77,9247.68,4230.95,142.14
Herpetologist,0,NJ,OWN,71154,Not Verified,17.7,,Not Verified,34.49,0,,1988,7,40,18,64238,59608,2,2,,0,1106,0,5,15,12,0,0,2,25545,17,10,6,1,72.7,0,0,debt_consolidation,individual,9016,36,19.22,209.67,B,C1,Aug-2023,Late (16-30 days),whole,Cash,5090.7,8386.42,6089.4,1218.69,69.56
Land/geomatics surveyor,1,FL,RENT,110716,Source Verified,12.31,156239.0,Verified,,0,,1991,4,45,13,231035,99826,1,4,,0,2078,1,8,8,6,0,1,9,30099,24,6,0,3,94.6,0,0,home_improvement,individual,14180,60,21.63,345.85,D,E2,Dec-2024,Current,fractional,DirectPay,9611.39,8617.93,3349.9,387.4,325.82
Geographical information systems officer,1,CA,RENT,72377,Not Verified,30.79,,Source Verified,9.35,0,,2009,9,7,15,289067,63261,1,0,,1,4979,7,12,10,4,1,1,5,10547,6,1,3,3,69.7,0,0,vacation,joint,25554,36,11.0,473.22,B,C1,Feb-2024,Fully Paid,whole,DirectPay,6829.37,5616.91,2688.65,4380.62,287.68
"Engineer, water",8,TX,OWN,153681,Verified,19.71,52204.0,Source Verified,,0,33.0,1999,7,27,12,39336,5025,1,3,,1,392,6,4,23,18,0,2,5,22093,22,9,0,2,66.1,0,0,home_improvement,joint,7818,36,12.27,166.34,A,A1,Feb-2024,Fully Paid,whole,DirectPay,5672.95,4845.08,5604.41,1324.67,157.57
Chief Strategy Officer,0,NC,OWN,131956,Source Verified,31.97,,Not Verified,31.64,0,,2005,8,9,6,84218,66344,1,1,,1,2349,4,14,2,6,0,0,4,35840,11,12,0,0,69.2,0,0,other,individual,15379,60,12.38,313.86,C,D1,Jul-2024,Current,fractional,DirectPay,15089.76,12197.74,10504.29,744.27,480.31
